==========Random==========
N       Radix   Heap
100000  0.043   0.049
150000  0.066   0.071
200000  0.084   0.098
250000  0.108   0.125
300000  0.127   0.149
350000  0.15    0.187
400000  0.17    0.201
450000  0.193   0.227
500000  0.213   0.299
550000  0.247   0.328
600000  0.284   0.37
650000  0.3     0.367
700000  0.31    0.389
750000  0.328   0.414
800000  0.355   0.474
850000  0.39    0.503
900000  0.421   0.54
950000  0.43    0.54
1000000 0.457   0.569
==========Dec==========
N       Radix   Heap
100000  0.044   0.046
150000  0.058   0.067
200000  0.083   0.093
250000  0.1     0.116
300000  0.12    0.138
350000  0.139   0.163
400000  0.155   0.184
450000  0.174   0.211
500000  0.191   0.234
550000  0.207   0.259
600000  0.224   0.29
650000  0.254   0.314
700000  0.263   0.331
750000  0.291   0.363
800000  0.309   0.387
850000  0.325   0.424
900000  0.344   0.441
950000  0.371   0.476
1000000 0.399   0.499
==========Inc==========
N       Radix   Heap
100000  0.033   0.044
150000  0.051   0.062
200000  0.063   0.085
250000  0.076   0.109
300000  0.092   0.133
350000  0.109   0.155
400000  0.12    0.185
450000  0.135   0.205
500000  0.154   0.221
550000  0.171   0.245
600000  0.174   0.276
650000  0.195   0.302
700000  0.212   0.322
750000  0.22    0.347
800000  0.231   0.371
850000  0.251   0.404
900000  0.269   0.42
950000  0.283   0.454
1000000 0.299   0.477
==========Same==========
N       Radix   Heap
100000  0.036   0.046
150000  0.048   0.064
200000  0.062   0.086
250000  0.079   0.112
300000  0.089   0.135
350000  0.106   0.148
400000  0.122   0.182
450000  0.133   0.203
500000  0.149   0.226
550000  0.164   0.251
600000  0.186   0.271
650000  0.188   0.297
700000  0.204   0.326
750000  0.218   0.348
800000  0.243   0.376
850000  0.252   0.391
900000  0.267   0.423
950000  0.285   0.451
1000000 0.299   0.466
