N;BubbleSort;InsertionSort;SelectionSort;CountingSort;
1000;0;0,008;0;0;
2000;0,015;0,016;0;0,015;
3000;0,056;0,016;0,015;0,033;
4000;0,078;0,043;0,015;0,063;
5000;0,14;0,047;0,047;0,098;
6000;0,212;0,08;0,064;0,144;
7000;0,273;0,112;0,088;0,2;
8000;0,426;0,136;0,112;0,255;
9000;0,445;0,169;0,144;0,322;
10000;0,525;0,205;0,168;0,383;
11000;0,625;0,251;0,203;0,479;
12000;0,688;0,237;0,181;0,351;
13000;0,542;0,219;0,211;0,392;
14000;0,642;0,232;0,204;0,463;
15000;0,72;0,287;0,235;0,516;
16000;0,809;0,326;0,252;0,579;
17000;0,911;0,364;0,281;0,683;
18000;1,014;0,411;0,348;0,754;
19000;1,153;0,474;0,384;0,837;
20000;1,269;0,511;0,416;0,93;
21000;1,422;0,551;0,477;1,049;
22000;1,555;0,586;0,505;1,102;
23000;1,691;0,658;0,544;1,254;
24000;1,84;0,74;0,608;1,367;
25000;1,958;0,789;0,631;1,458;
26000;2,167;0,85;0,701;1,543;
27000;2,303;0,927;0,761;1,695;
28000;2,476;0,963;0,817;1,82;
29000;2,681;1,06;0,859;1,921;
30000;2,868;1,13;0,933;2,071;
31000;3,074;1,229;0,998;2,248;
32000;3,308;1,287;1,076;2,431;
33000;3,55;1,371;1,159;2,55;
34000;3,779;1,459;1,234;2,701;
