N;BubbleSort;InsertionSort;SelectionSort;CountingSort;HeapSort;
1000;0;0;0;0.009;0;
2000;0;0;0;0.007;0.008;
3000;0;0;0.008;0.024;0;
4000;0;0;0.017;0.039;0;
5000;0.008;0;0.024;0.064;0;
6000;0;0;0.04;0.096;0;
7000;0;0;0.056;0.129;0;
8000;0;0;0.072;0.161;0;
9000;0;0;0.088;0.174;0;
10000;0;0;0.094;0.218;0;
11000;0;0;0.141;0.266;0;
12000;0;0;0.14;0.328;0;
13000;0;0;0.156;0.399;0;
14000;0;0;0.203;0.438;0;
15000;0;0;0.219;0.5;0;
16000;0;0;0.25;0.588;0.015;
17000;0;0;0.282;0.656;0;
18000;0;0;0.322;0.74;0;
19000;0;0;0.344;0.812;0.016;
20000;0;0;0.406;0.916;0;
21000;0;0;0.446;0.985;0;
22000;0;0;0.484;1.103;0;
23000;0;0;0.541;1.187;0;
24000;0;0;0.571;1.29;0.016;
25000;0;0;0.625;1.467;0;
26000;0;0;0.68;1.541;0;
27000;0;0;0.728;1.66;0;
28000;0;0;0.782;1.767;0.016;
29000;0;0;0.828;1.928;0;
30000;0;0;0.906;2.034;0;
31000;0;0;0.961;2.188;0;
32000;0;0;1.019;2.348;0;
33000;0;0;1.078;2.471;0;
34000;0;0;1.155;2.631;0.002;
35000;0;0;1.213;2.835;0;
