N;BubbleSort;InsertionSort;SelectionSort;CountingSort
1000;0,016;0;0;0
2000;0,018;0;0;0,016
3000;0,031;0;0,019;0,025
4000;0,054;0,021;0,016;0,031
5000;0,086;0,036;0,03;0,047
6000;0,119;0,05;0,049;0,083
7000;0,169;0,062;0,054;0,116
8000;0,214;0,087;0,069;0,15
9000;0,272;0,107;0,086;0,197
10000;0,332;0,122;0,115;0,232
11000;0,421;0,138;0,148;0,289
12000;0,486;0,185;0,153;0,343
13000;0,564;0,225;0,175;0,4
14000;0,661;0,261;0,201;0,47
15000;0,801;0,302;0,232;0,563
16000;0,848;0,348;0,285;0,635
17000;0,969;0,371;0,309;0,7
18000;1,089;0,432;0,338;0,788
19000;1,209;0,481;0,395;0,886
20000;1,35;0,533;0,43;0,957
21000;1,487;0,572;0,472;1,063
22000;1,612;0,664;0,514;1,181
23000;1,775;0,689;0,563;1,277
24000;1,965;0,75;0,63;1,406
25000;2,096;0,813;0,651;1,534
26000;2,278;0,868;0,715;1,641
27000;2,424;0,936;0,782;1,777
28000;3,009;1,021;0,901;2,318
29000;2,775;1,064;0,885;29,761
30000;4,991;1,94;1,599;2,446
31000;3,159;1,247;1,001;2,314
32000;3,352;1,326;1,076;2,45
33000;3,562;1,394;1,151;2,623
34000;3,817;1,482;1,218;2,777
