N;BubbleSort;InsertionSort;SelectionSort;CountingSort
1000;0;0;0;0
2000;0;0;0,015;0
3000;0;0;0,016;0,022
4000;0;0;0,016;0,025
5000;0;0;0,032;0,069
6000;0;0;0,034;0,086
7000;0;0;0,053;0,115
8000;0;0;0,064;0,151
9000;0;0;0,083;0,186
10000;0;0;0,1;0,251
11000;0;0;0,131;0,281
12000;0;0;0,164;0,337
13000;0;0;0,188;0,407
14000;0;0;0,211;0,481
15000;0;0;0,243;0,555
16000;0;0;0,263;0,622
17000;0;0;0,3;0,713
18000;0;0;0,317;0,793
19000;0;0;0,374;0,865
20000;0;0;0,422;0,948
21000;0;0;0,464;1,078
22000;0;0;0,487;1,171
23000;0;0;0,548;1,314
24000;0;0;0,611;1,381
25000;0;0;0,637;1,519
26000;0;0;0,698;1,62
27000;0;0;0,774;1,791
28000;0;0;0,809;1,873
29000;0;0;0,852;2,042
30000;0;0;0,933;2,184
31000;0;0;0,988;2,298
32000;0;0;1,077;2,476
33000;0;0;1,143;2,626
34000;0;0;1,184;2,767
