N;BubbleSort;InsertionSort;SelectionSort;CountingSort
1000;0,004;0;0,004;0,004
2000;0,016;0,003;0,008;0,025
3000;0,036;0,008;0,016;0,064
4000;0,064;0,018;0,025;0,112
5000;0,104;0,024;0,042;0,184
6000;0,153;0,04;0,06;0,272
7000;0,22;0,056;0,084;0,352
8000;0,309;0,069;0,104;0,466
9000;0,362;0,09;0,136;0,601
10000;0,462;0,104;0,174;0,708
11000;0,421;0,087;0,129;0,537
12000;0,44;0,09;0,146;0,656
13000;0,48;0,109;0,164;0,758
14000;0,586;0,132;0,198;0,902
15000;0,662;0,143;0,233;1,017
16000;0,754;0,156;0,272;1,147
17000;0,845;0,178;0,305;1,298
18000;0,987;0,204;0,338;1,5
19000;1,086;0,23;0,374;1,615
20000;1,203;0,264;0,415;1,812
21000;1,336;0,295;0,462;2,005
22000;1,451;0,311;0,49;2,224
23000;1,639;0,341;0,553;2,4
24000;1,772;0,379;0,575;2,61
25000;1,936;0,4;0,66;2,839
26000;2,088;0,431;0,709;3,048
27000;2,253;0,457;0,755;3,353
28000;2,432;0,517;0,798;3,597
29000;2,605;0,547;0,864;3,832
30000;2,819;0,602;0,912;4,053
31000;3,069;0,64;1,008;4,385
32000;3,286;0,667;1,063;4,698
33000;3,931;0,787;1,31;5,165
34000;3,702;0,769;1,212;5,355
