N;BubbleSort;InsertionSort;SelectionSort;CountingSort;
1000;0;0;0;0,016;
2000;0;0;0;0,016;
3000;0;0;0,006;0,031;
4000;0;0;0,016;0,047;
5000;0;0;0,023;0,079;
6000;0;0;0,039;0,109;
7000;0;0;0,052;0,155;
8000;0;0;0,066;0,194;
9000;0;0;0,086;0,247;
10000;0;0;0,102;0,314;
11000;0;0;0,125;0,388;
12000;0;0;0,142;0,453;
13000;0;0;0,187;0,528;
14000;0;0;0,198;0,599;
15000;0;0;0,241;0,692;
16000;0;0;0,267;0,802;
17000;0;0;0,295;0,911;
18000;0;0;0,341;1,002;
19000;0;0;0,369;1,138;
20000;0;0;0,392;1,247;
21000;0;0;0,44;1,381;
22000;0;0;0,499;1,538;
23000;0;0;0,565;1,643;
24000;0;0;0,585;1,774;
25000;0;0;0,63;1,941;
26000;0;0;0,7;2,112;
27000;0;0;0,743;2,278;
28000;0;0;0,796;2,454;
29000;0;0;0,854;2,664;
30000;0;0;0,923;2,79;
31000;0;0;0,97;3,021;
32000;0;0;1,033;3,192;
33000;0;0;1,092;3,496;
34000;0;0;1,257;3,95;
