N;BubbleSort;InsertionSort;SelectionSort;CountingSort;HeapSort;
1000;0;0;0.015;0;0;
2000;0.016;0;0.015;0.016;0;
3000;0.047;0;0.016;0.073;0;
4000;0.056;0.015;0.032;0.121;0;
5000;0.094;0.025;0.047;0.18;0.016;
6000;0.162;0.024;0.047;0.272;0;
7000;0.224;0.048;0.088;0.356;0;
8000;0.295;0.072;0.112;0.489;0;
9000;0.377;0.09;0.144;0.593;0;
10000;0.472;0.112;0.184;0.723;0;
11000;0.564;0.141;0.198;0.793;0;
12000;0.491;0.096;0.145;0.64;0;
13000;0.503;0.121;0.176;0.788;0;
14000;0.573;0.125;0.22;0.86;0;
15000;0.688;0.156;0.263;1.021;0;
16000;0.777;0.178;0.28;1.219;0.003;
17000;0.893;0.192;0.34;1.32;0;
18000;0.949;0.22;0.362;1.479;0;
19000;1.008;0.235;0.359;1.541;0;
20000;1.118;0.245;0.4;1.715;0;
21000;1.255;0.265;0.438;1.884;0;
22000;1.384;0.297;0.479;2.055;0.015;
23000;1.494;0.328;0.53;2.253;0;
24000;1.647;0.359;0.578;2.452;0;
25000;1.792;0.391;0.609;2.644;0;
26000;1.931;0.406;0.666;2.894;0;
27000;2.091;0.437;0.728;3.11;0;
28000;2.228;0.484;0.782;3.338;0;
29000;2.424;0.515;0.838;3.585;0.015;
30000;2.588;0.546;0.875;3.924;0.008;
31000;2.853;0.587;0.938;4.09;0.016;
32000;2.983;0.64;1.016;4.323;0.015;
33000;3.159;0.688;1.072;4.739;0;
34000;3.364;0.718;1.141;4.947;0;
35000;3.582;0.75;1.213;5.72;0.008;
