N;BubbleSort;InsertionSort;SelectionSort;CountingSort;HeapSort;
1000;0;0;0;0;0;
2000;0;0;0.016;0;0;
3000;0;0;0.016;0.031;0;
4000;0;0;0.016;0.046;0;
5000;0;0;0.016;0.078;0;
6000;0;0;0.047;0.094;0;
7000;0;0;0.047;0.141;0;
8000;0;0;0.07;0.188;0;
9000;0;0;0.094;0.234;0;
10000;0;0;0.109;0.297;0;
11000;0;0;0.11;0.354;0;
12000;0;0;0.141;0.437;0;
13000;0;0;0.172;0.5;0;
14000;0;0;0.188;0.593;0;
15000;0;0;0.219;0.695;0;
16000;0;0;0.25;0.766;0;
17000;0;0;0.28;0.868;0;
18000;0;0;0.328;0.98;0;
19000;0;0;0.36;1.078;0;
20000;0;0;0.39;1.183;0;
21000;0;0;0.446;1.321;0;
22000;0;0;0.469;1.453;0;
23000;0;0;0.524;1.575;0;
24000;0;0;0.578;1.712;0;
25000;0;0;0.618;1.954;0;
26000;0;0;0.721;2.034;0;
27000;0;0;0.712;2.172;0;
28000;0;0;0.774;2.347;0;
29000;0;0;0.824;2.502;0;
30000;0;0;0.884;2.675;0;
31000;0;0;0.962;3.021;0;
32000;0;0;1.009;3.055;0;
33000;0;0;1.08;3.235;0;
34000;0;0;1.134;3.43;0;
35000;0;0;1.197;3.627;0;
