N,Ломуто,Хоара,Бентли,SmoothSort,HeapSort
1000,0.0014790000000000001,0.00028299999999999999,1.2999999999999999e-05,0.00013999999999999999,9.3999999999999994e-05
2000,0.0058910000000000004,0.001111,2.5000000000000001e-05,0.000299,0.00020599999999999999
3000,0.01323,0.0024650000000000002,3.8000000000000002e-05,0.00045300000000000001,0.00031399999999999999
4000,0.023601,0.0043750000000000004,5.5000000000000002e-05,0.00062299999999999996,0.00043100000000000001
5000,0.036833999999999999,0.0068139999999999997,6.8999999999999997e-05,0.00078100000000000001,0.00054900000000000001
6000,0.052996000000000001,0.0097870000000000006,8.5000000000000006e-05,0.00095500000000000001,0.00067500000000000004
7000,0.072197999999999998,0.013356,0.000106,0.001108,0.00079799999999999999
8000,0.094340999999999994,0.017322000000000001,0.000118,0.0012819999999999999,0.00092000000000000003
9000,0.11879000000000001,0.021867999999999999,0.000127,0.001441,0.0010529999999999999
10000,0.14666799999999999,0.026970000000000001,0.000147,0.0016230000000000001,0.001181
11000,0.17773900000000001,0.032779000000000003,0.00016000000000000001,0.001789,0.001315
12000,0.21194199999999999,0.038968999999999997,0.000174,0.0019599999999999999,0.0014499999999999999
13000,0.24842500000000001,0.045655000000000001,0.00018699999999999999,0.0021429999999999999,0.0015790000000000001
14000,0.28809699999999999,0.052769000000000003,0.00020599999999999999,0.0023210000000000001,0.001722
15000,0.33036900000000002,0.060772,0.000224,0.002503,0.0018469999999999999
16000,0.37856299999999998,0.069328000000000001,0.00024600000000000002,0.0026879999999999999,0.0019970000000000001
17000,0.42596099999999998,0.077704999999999996,0.00025500000000000002,0.0028769999999999998,0.0021150000000000001
18000,0.47733199999999998,0.087675000000000003,0.00028299999999999999,0.0030539999999999999,0.0022690000000000002
19000,0.53264900000000004,0.097492999999999996,0.00030200000000000002,0.0032190000000000001,0.002398
20000,0.58889100000000005,0.107816,0.00030200000000000002,0.0034039999999999999,0.002526
21000,0.64937599999999995,0.118604,0.00032499999999999999,0.0035609999999999999,0.002673
22000,0.71603099999999997,0.130633,0.00034099999999999999,0.0037529999999999998,0.002833
23000,0.78109200000000001,0.14318,0.00035500000000000001,0.0039579999999999997,0.0030200000000000001
24000,0.85076499999999999,0.156227,0.000379,0.0041580000000000002,0.0031050000000000001
25000,0.92432199999999998,0.16852700000000001,0.000388,0.0043530000000000001,0.0032650000000000001
26000,0.99938800000000005,0.18174899999999999,0.00039500000000000001,0.0045399999999999998,0.0033809999999999999
27000,1.0753699999999999,0.19638800000000001,0.00040900000000000002,0.0047299999999999998,0.003542
28000,1.1577500000000001,0.211391,0.00042099999999999999,0.0048710000000000003,0.003669
29000,1.26833,0.225962,0.00046299999999999998,0.0050600000000000003,0.0038270000000000001
30000,1.3309899999999999,0.24724499999999999,0.00048000000000000001,0.005189,0.0039430000000000003
31000,1.4240999999999999,0.25905699999999998,0.000495,0.0055250000000000004,0.0041019999999999997
32000,1.5301400000000001,0.27525899999999998,0.00051699999999999999,0.0055570000000000003,0.0042449999999999996
33000,1.6140699999999999,0.29429899999999998,0.00054600000000000004,0.0057470000000000004,0.0044099999999999999
34000,1.7133100000000001,0.31277199999999999,0.00057399999999999997,0.0059430000000000004,0.0045180000000000003
35000,1.82145,0.32999000000000001,0.00056300000000000002,0.00613,0.0046639999999999997
36000,1.9118200000000001,0.34845100000000001,0.00058200000000000005,0.0063249999999999999,0.0047999999999999996
37000,2.03437,0.38092700000000002,0.00059100000000000005,0.0065040000000000002,0.0049690000000000003
38000,2.14296,0.38753300000000002,0.00064099999999999997,0.0067400000000000003,0.0050879999999999996
39000,2.2359100000000001,0.40817199999999998,0.00064700000000000001,0.0069290000000000003,0.0052550000000000001
40000,2.35561,0.43200499999999997,0.00065499999999999998,0.0070790000000000002,0.0053899999999999998
41000,2.48909,0.45351999999999998,0.00069399999999999996,0.0072579999999999997,0.0055389999999999997
42000,2.6004,0.47857100000000002,0.00067000000000000002,0.0074409999999999997,0.0057000000000000002
43000,2.7938299999999998,0.50639500000000004,0.00067400000000000001,0.0076369999999999997,0.0058279999999999998
44000,2.9089800000000001,0.52254599999999995,0.00070799999999999997,0.0078440000000000003,0.0059829999999999996
45000,3.0045099999999998,0.54994600000000005,0.00072000000000000005,0.0080569999999999999,0.0061159999999999999
46000,3.1204100000000001,0.57125300000000001,0.00077300000000000003,0.0082380000000000005,0.0062430000000000003
47000,3.32633,0.59525600000000001,0.00076599999999999997,0.0084749999999999999,0.0063860000000000002
48000,3.4142700000000001,0.62646800000000002,0.00089899999999999995,0.0086099999999999996,0.0065420000000000001
49000,3.51579,0.63926700000000003,0.00078600000000000002,0.0088210000000000007,0.0067200000000000003
,,,,,
