N,Ломуто,Хоара,Бентли,SmoothSort,HeapSort
1000,0.000444,0.00027900000000000001,1.2e-05,1.7e-05,9.7999999999999997e-05
2000,0.001732,0.0010970000000000001,2.0000000000000002e-05,3.1999999999999999e-05,0.00022100000000000001
3000,0.0038930000000000002,0.0024529999999999999,3.0000000000000001e-05,4.8000000000000001e-05,0.00034699999999999998
4000,0.0068780000000000004,0.0043379999999999998,4.1999999999999998e-05,6.3999999999999997e-05,0.000475
5000,0.010699,0.0067780000000000002,5.0000000000000002e-05,8.0000000000000007e-05,0.00060400000000000004
6000,0.01585,0.0097820000000000008,6.7000000000000002e-05,9.6000000000000002e-05,0.00072800000000000002
7000,0.020981,0.013318999999999999,8.3999999999999995e-05,0.00011,0.00086300000000000005
8000,0.027411999999999999,0.017276,8.7000000000000001e-05,0.00012899999999999999,0.00099099999999999991
9000,0.034554000000000001,0.021845,0.000103,0.00014200000000000001,0.001124
10000,0.042663,0.026943000000000002,0.00012,0.00015799999999999999,0.0012650000000000001
11000,0.051603999999999997,0.032605000000000002,0.000125,0.000175,0.0014009999999999999
12000,0.061452,0.038815000000000002,0.000145,0.00019000000000000001,0.001534
13000,0.072460999999999998,0.045650999999999997,0.00014899999999999999,0.00020599999999999999,0.0016800000000000001
14000,0.083585000000000007,0.052769000000000003,0.00016699999999999999,0.000223,0.00182
15000,0.095940999999999999,0.060852999999999997,0.00018599999999999999,0.00023900000000000001,0.0019550000000000001
16000,0.109324,0.069321999999999995,0.00019000000000000001,0.000252,0.0020929999999999998
17000,0.12457600000000001,0.078450000000000006,0.00021100000000000001,0.00027300000000000002,0.0022179999999999999
18000,0.13948199999999999,0.088964000000000001,0.000223,0.00028899999999999998,0.002359
19000,0.15534899999999999,0.097463999999999995,0.00022599999999999999,0.00030499999999999999,0.0025040000000000001
20000,0.170623,0.109123,0.00024899999999999998,0.00031799999999999998,0.00265
21000,0.189359,0.118668,0.00024899999999999998,0.00033599999999999998,0.0027910000000000001
22000,0.20643,0.130162,0.00027799999999999998,0.00035100000000000002,0.002944
23000,0.22564899999999999,0.142316,0.00029100000000000003,0.00036499999999999998,0.0031199999999999999
24000,0.24596399999999999,0.15484600000000001,0.00029999999999999997,0.00038099999999999999,0.003261
25000,0.26699600000000001,0.168013,0.000321,0.00040000000000000002,0.003385
26000,0.28900599999999999,0.18182400000000001,0.00033100000000000002,0.00041399999999999998,0.0035330000000000001
27000,0.31206299999999998,0.196023,0.00034000000000000002,0.000428,0.0036939999999999998
28000,0.33457500000000001,0.21085300000000001,0.00035500000000000001,0.00044700000000000002,0.0038609999999999998
29000,0.36000199999999999,0.226608,0.00035799999999999997,0.00046200000000000001,0.0039690000000000003
30000,0.38525799999999999,0.24185799999999999,0.00039800000000000002,0.00047899999999999999,0.0041149999999999997
31000,0.41189300000000001,0.25829200000000002,0.00039199999999999999,0.00049799999999999996,0.0042570000000000004
32000,0.437973,0.27541500000000002,0.00042099999999999999,0.00050900000000000001,0.004398
33000,0.466752,0.29298299999999999,0.00042700000000000002,0.00052499999999999997,0.0045589999999999997
34000,0.494896,0.31114199999999997,0.00047399999999999997,0.00054199999999999995,0.0046909999999999999
35000,0.52971500000000005,0.32967000000000002,0.00048000000000000001,0.00055699999999999999,0.0048659999999999997
36000,0.55759199999999998,0.348914,0.00047800000000000002,0.00057600000000000001,0.0050090000000000004
37000,0.58718099999999995,0.36958099999999999,0.00048000000000000001,0.00059000000000000003,0.0051809999999999998
38000,0.61889700000000003,0.39153700000000002,0.00050600000000000005,0.00061799999999999995,0.0053090000000000004
39000,0.65193500000000004,0.41199799999999998,0.00052499999999999997,0.00062100000000000002,0.005457
40000,0.686805,0.431203,0.00051500000000000005,0.00063699999999999998,0.0056090000000000003
41000,0.72724100000000003,0.46669500000000003,0.00052800000000000004,0.00065600000000000001,0.0057450000000000001
42000,0.77271000000000001,0.476655,0.00056400000000000005,0.000669,0.0059119999999999997
43000,0.79259900000000005,0.497747,0.00062200000000000005,0.00068800000000000003,0.0060629999999999998
44000,0.82878399999999997,0.52024999999999999,0.00057700000000000004,0.00070200000000000004,0.006398
45000,0.868842,0.54436499999999999,0.00061700000000000004,0.00072099999999999996,0.0063629999999999997
46000,0.90625,0.56895099999999998,0.00060599999999999998,0.00073999999999999999,0.0065180000000000004
47000,0.94519799999999998,0.59410799999999997,0.00062600000000000004,0.00075000000000000002,0.0067010000000000004
48000,0.98801600000000001,0.61959500000000001,0.00062100000000000002,0.000767,0.006842
49000,1.0369200000000001,0.65632299999999999,0.00066699999999999995,0.00077800000000000005,0.0070000000000000001
50000,1.08043,0.67208599999999996,0.00065200000000000002,,
