N;MergeSort1;MergeSort2;HeapSort;QuickSort;
100000;0.011174;0.010987;0.018584;0.006613;
150000;0.017106;0.017083;0.029182;0.00999;
200000;0.02304;0.022853;0.040151;0.013665;
250000;0.029222;0.028424;0.052085;0.017104;
300000;0.035755;0.035328;0.064424;0.020485;
350000;0.041821;0.041414;0.0752;0.023842;
400000;0.047698;0.047397;0.087397;0.027552;
450000;0.053786;0.052973;0.099412;0.030607;
500000;0.060141;0.059282;0.112827;0.034148;
550000;0.066688;0.066991;0.124445;0.037698;
600000;0.072751;0.073192;0.14326;0.040269;
650000;0.079174;0.077946;0.149959;0.044982;
700000;0.085592;0.084585;0.162167;0.04827;
750000;0.092075;0.090839;0.17568;0.051739;
800000;0.097882;0.097361;0.18803;0.055096;
850000;0.104274;0.10338;0.201089;0.057939;
900000;0.110777;0.108852;0.214299;0.062277;
950000;0.117343;0.116002;0.227518;0.065902;
