N;MergeSort1;MergeSort2;HeapSort;QuickSort;
100000;0.011059;0.011112;0.018535;0.006612;
150000;0.016992;0.017046;0.029002;0.010059;
200000;0.022959;0.022863;0.040368;0.01349;
250000;0.02904;0.028475;0.051396;0.016883;
300000;0.035232;0.034785;0.063042;0.020543;
350000;0.041445;0.041018;0.074754;0.023657;
400000;0.047449;0.047064;0.087039;0.027101;
450000;0.053415;0.052984;0.098703;0.030759;
500000;0.059802;0.059077;0.112341;0.034292;
550000;0.066321;0.066348;0.124293;0.037459;
600000;0.07244;0.072256;0.136765;0.041448;
650000;0.078872;0.078002;0.149203;0.044812;
700000;0.085277;0.084359;0.162467;0.047115;
750000;0.091825;0.090261;0.174831;0.050955;
800000;0.097519;0.097278;0.188212;0.055208;
850000;0.103643;0.102884;0.202343;0.05882;
900000;0.110425;0.109723;0.214784;0.062081;
950000;0.119615;0.116111;0.228636;0.065121;
